주차장명,소재지지번주소,주차구획수,위도,경도,읍면동_추출,행정구역_그룹,시간대,혼잡지수_v3
파평1-2,경기도 파주시 파평면 장파리 370-200,17,37.944539262,126.8382833629,파평면,파평면,00-06시,1.634399298919569
파평1-2,경기도 파주시 파평면 장파리 370-200,17,37.944539262,126.8382833629,파평면,파평면,06-09시,1.795332220142695
파평1-2,경기도 파주시 파평면 장파리 370-200,17,37.944539262,126.8382833629,파평면,파평면,12-15시,4.194620550038918
파평1-2,경기도 파주시 파평면 장파리 370-200,17,37.944539262,126.8382833629,파평면,파평면,18-21시,1.1809962697062786
파평2,경기도 파주시 파평면 장파리 377-8,21,37.9456813374,126.8378292501,파평면,파평면,00-06시,1.634399298919569
파평2,경기도 파주시 파평면 장파리 377-8,21,37.9456813374,126.8378292501,파평면,파평면,06-09시,1.795332220142695
파평2,경기도 파주시 파평면 장파리 377-8,21,37.9456813374,126.8378292501,파평면,파평면,12-15시,4.194620550038918
파평2,경기도 파주시 파평면 장파리 377-8,21,37.9456813374,126.8378292501,파평면,파평면,18-21시,1.1809962697062786
한태말,경기도 파주시 월롱면 영태리 642-1,18,37.781651647,126.787886411,월롱면,월롱면,00-06시,19.11871937636869
한태말,경기도 파주시 월롱면 영태리 642-1,18,37.781651647,126.787886411,월롱면,월롱면,06-09시,41.31557141287369
한태말,경기도 파주시 월롱면 영태리 642-1,18,37.781651647,126.787886411,월롱면,월롱면,12-15시,57.760895571000994
한태말,경기도 파주시 월롱면 영태리 642-1,18,37.781651647,126.787886411,월롱면,월롱면,18-21시,13.489443777285478
영태리,경기도 파주시 월롱면 영태리 572-2,15,37.7772480813,126.7885191362,월롱면,월롱면,00-06시,19.11871937636869
영태리,경기도 파주시 월롱면 영태리 572-2,15,37.7772480813,126.7885191362,월롱면,월롱면,06-09시,41.31557141287369
영태리,경기도 파주시 월롱면 영태리 572-2,15,37.7772480813,126.7885191362,월롱면,월롱면,12-15시,57.760895571000994
영태리,경기도 파주시 월롱면 영태리 572-2,15,37.7772480813,126.7885191362,월롱면,월롱면,18-21시,13.489443777285478
문산2,경기도 파주시 문산읍 문산리 31-52,36,37.854600238,126.7829907296,문산읍,문산읍,00-06시,219.81638701453755
문산2,경기도 파주시 문산읍 문산리 31-52,36,37.854600238,126.7829907296,문산읍,문산읍,06-09시,240.58692052710327
문산2,경기도 파주시 문산읍 문산리 31-52,36,37.854600238,126.7829907296,문산읍,문산읍,12-15시,277.90602289056534
문산2,경기도 파주시 문산읍 문산리 31-52,36,37.854600238,126.7829907296,문산읍,문산읍,18-21시,196.61583430167468
적암리 희망,경기도 파주시 적성면 적암리 66-4,232,37.9851642285,127.0039588031,적성면,적성면,00-06시,4.701746436909548
적암리 희망,경기도 파주시 적성면 적암리 66-4,232,37.9851642285,127.0039588031,적성면,적성면,06-09시,5.155349143901746
적암리 희망,경기도 파주시 적성면 적암리 66-4,232,37.9851642285,127.0039588031,적성면,적성면,12-15시,8.424272459545405
적암리 희망,경기도 파주시 적성면 적암리 66-4,232,37.9851642285,127.0039588031,적성면,적성면,18-21시,3.7191109899955785
법원3리,경기도 파주시 법원읍 법원리 682-2,41,37.8513061967,126.875593531,법원읍,법원읍,00-06시,6.299767456332388
법원3리,경기도 파주시 법원읍 법원리 682-2,41,37.8513061967,126.875593531,법원읍,법원읍,06-09시,7.0180957533453565
법원3리,경기도 파주시 법원읍 법원리 682-2,41,37.8513061967,126.875593531,법원읍,법원읍,12-15시,9.77730913135082
법원3리,경기도 파주시 법원읍 법원리 682-2,41,37.8513061967,126.875593531,법원읍,법원읍,18-21시,4.897962098214446
파평1-1,경기도 파주시 파평면 장파리 370-2,8,37.9445194447,126.8379648695,파평면,파평면,00-06시,1.634399298919569
파평1-1,경기도 파주시 파평면 장파리 370-2,8,37.9445194447,126.8379648695,파평면,파평면,06-09시,1.795332220142695
파평1-1,경기도 파주시 파평면 장파리 370-2,8,37.9445194447,126.8379648695,파평면,파평면,12-15시,4.194620550038918
파평1-1,경기도 파주시 파평면 장파리 370-2,8,37.9445194447,126.8379648695,파평면,파평면,18-21시,1.1809962697062786
금촌통일시장,경기도 파주시 금촌동 323-4,132,37.7633915587,126.7731887546,금촌동,금촌,00-06시,57.02432553524429
금촌통일시장,경기도 파주시 금촌동 323-4,132,37.7633915587,126.7731887546,금촌동,금촌,06-09시,55.65659890678894
금촌통일시장,경기도 파주시 금촌동 323-4,132,37.7633915587,126.7731887546,금촌동,금촌,12-15시,35.4833995442708
금촌통일시장,경기도 파주시 금촌동 323-4,132,37.7633915587,126.7731887546,금촌동,금촌,18-21시,47.80709104637571
문산고가다리,경기도 파주시 문산읍 선유리 957-31,40,37.8594414315,126.7876501779,문산읍,문산읍,00-06시,219.81638701453755
문산고가다리,경기도 파주시 문산읍 선유리 957-31,40,37.8594414315,126.7876501779,문산읍,문산읍,06-09시,240.58692052710327
문산고가다리,경기도 파주시 문산읍 선유리 957-31,40,37.8594414315,126.7876501779,문산읍,문산읍,12-15시,277.90602289056534
문산고가다리,경기도 파주시 문산읍 선유리 957-31,40,37.8594414315,126.7876501779,문산읍,문산읍,18-21시,196.61583430167468
문산자유시장,경기도 파주시 문산읍 문산리 8-2,123,37.8577000708,126.7843702993,문산읍,문산읍,00-06시,219.81638701453755
문산자유시장,경기도 파주시 문산읍 문산리 8-2,123,37.8577000708,126.7843702993,문산읍,문산읍,06-09시,240.58692052710327
문산자유시장,경기도 파주시 문산읍 문산리 8-2,123,37.8577000708,126.7843702993,문산읍,문산읍,12-15시,277.90602289056534
문산자유시장,경기도 파주시 문산읍 문산리 8-2,123,37.8577000708,126.7843702993,문산읍,문산읍,18-21시,196.61583430167468
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,00-06시,24.22857083392985
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,06-09시,29.624812306880703
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,12-15시,126.30049958589464
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,18-21시,24.31692264003216
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,00-06시,139.85962828990756
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,06-09시,131.15411921120486
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,12-15시,67.77905888253721
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,18-21시,107.43072866526477
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,00-06시,139.85962828990756
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,06-09시,131.15411921120486
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,12-15시,67.77905888253721
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,18-21시,107.43072866526477
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,00-06시,139.85962828990756
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,06-09시,131.15411921120486
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,12-15시,67.77905888253721
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,18-21시,107.43072866526477
금촌로터리,경기도 파주시 금촌동 956-1,119,37.756244053,126.7731678705,금촌동,금촌,00-06시,57.02432553524429
금촌로터리,경기도 파주시 금촌동 956-1,119,37.756244053,126.7731678705,금촌동,금촌,06-09시,55.65659890678894
