주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
229-2-000066,파평1-2,공영,노외,경기도 파주시 파평면 장마루12길 11,경기도 파주시 파평면 장파리 370-200,17,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9445392620,126.8382833629,N,2025-05-22
229-2-000067,파평2,공영,노외,경기도 파주시 파평면 장마루15길 2,경기도 파주시 파평면 장파리 377-8,21,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9456813374,126.8378292501,N,2025-05-22
229-2-000068,한태말,공영,노외,경기도 파주시 월롱면 공수물길 3,경기도 파주시 월롱면 영태리 642-1,18,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7816516470,126.7878864110,N,2025-05-22
229-2-000069,영태리,공영,노외,경기도 파주시 월롱면 통일로 761,경기도 파주시 월롱면 영태리 572-2,15,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7772480813,126.7885191362,N,2025-05-22
229-2-000042,문산2,공영,노외,경기도 파주시 문산읍 문향로39번길 51-1,경기도 파주시 문산읍 문산리 31-52,36,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8546002380,126.7829907296,N,2025-05-22
229-2-000044,적암리 희망,공영,노외,경기도 파주시 적성면 율곡로3064번길 54,경기도 파주시 적성면 적암리 66-4,232,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9851642285,127.0039588031,N,2025-05-22
229-2-000063,법원3리,공영,노외,경기도 파주시 법원읍 사임당로857번길 53,경기도 파주시 법원읍 법원리 682-2,41,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8513061967,126.8755935310,N,2025-05-22
229-2-000065,파평1-1,공영,노외,경기도 파주시 파평면 장마루로 254,경기도 파주시 파평면 장파리 370-2,8,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9445194447,126.8379648695,N,2025-05-22
229-2-000003,금촌통일시장,공영,노외,경기도 파주시 명동길 51,경기도 파주시 금촌동 323-4,132,3,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,400,10,150,,7000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7633915587,126.7731887546,Y,2025-05-22
229-2-000004,문산고가다리,공영,노외,경기도 파주시 문산읍 문향로84번길 23,경기도 파주시 문산읍 선유리 957-31,40,1,미시행,,09:00,18:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.8594414315,126.7876501779,Y,2025-05-22
